sgID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
CUL2_+_35379233.23-P1P2|CUL2_+_35379513.23-P1P2++CUL2_+_35379233.23-P1P2|CUL2_+_35379513.23-P1P2	2351.6261323238	2.28464184370647	0.275328509004408	8.2978760607384	1.05989163372964e-16	1.0644844974758e-13	CUL2
ZNF236_+_74534757.23-P1P2|ZNF236_-_74534593.23-P1P2++ZNF236_+_74534757.23-P1P2|ZNF236_-_74534593.23-P1P2	9267.12846035979	1.07730362390844	0.130969728171032	8.22559257740538	1.942281800382e-16	1.86203024781167e-13	ZNF236
RFC4_+_186524236.23-P1P2|RFC4_+_186524226.23-P1P2++RFC4_+_186524236.23-P1P2|RFC4_+_186524226.23-P1P2	2190.08768720194	2.21367478156208	0.270760706312147	8.17576084695997	2.94004638557165e-16	2.6960225355692e-13	RFC4
RPAP1_+_41836411.23-P1P2|RPAP1_+_41836408.23-P1P2++RPAP1_+_41836411.23-P1P2|RPAP1_+_41836408.23-P1P2	1626.44585076367	2.59338454350016	0.318932599066505	8.13145019070119	4.24184821264624e-16	3.72770086053841e-13	RPAP1
ZBTB17_-_16302540.23-P1P2|ZBTB17_-_16302519.23-P1P2++ZBTB17_-_16302540.23-P1P2|ZBTB17_-_16302519.23-P1P2	1221.0256357536	3.10515786706674	0.382875136889801	8.11010579660719	5.05757068618293e-16	4.26676893369136e-13	ZBTB17
NEDD8_+_24701514.23-P1P2|NEDD8_+_24701539.23-P1P2++NEDD8_+_24701514.23-P1P2|NEDD8_+_24701539.23-P1P2	2563.78732159875	2.18404436541821	0.279285693847327	7.82010827454747	5.27779210747925e-15	4.28130435918634e-12	NEDD8
RPL37A_-_217363600.23-P1P2|RPL37A_-_217363610.23-P1P2++RPL37A_-_217363600.23-P1P2|RPL37A_-_217363610.23-P1P2	1606.85166786289	2.97193701313184	0.382852773166965	7.76261064677141	8.31987312797658e-15	6.28348801447725e-12	RPL37A
RPS3A_-_152021035.23-P1P2|RPS3A_+_152021229.23-P1P2++RPS3A_-_152021035.23-P1P2|RPS3A_+_152021229.23-P1P2	1270.18370928514	3.16755590883473	0.408070486949772	7.76227639619675	8.34183606302987e-15	6.28348801447725e-12	RPS3A
YTHDC1_-_69215701.23-P1P2|YTHDC1_-_69215755.23-P1P2++YTHDC1_-_69215701.23-P1P2|YTHDC1_-_69215755.23-P1P2	872.829208892186	3.48574071555068	0.449740208496621	7.7505649921823	9.14845809555592e-15	6.65345274804724e-12	YTHDC1
NCAPH_-_97001726.23-P1P2|NCAPH_+_97001557.23-P1P2++NCAPH_-_97001726.23-P1P2|NCAPH_+_97001557.23-P1P2	1296.58966440908	2.58040737255271	0.333270132825528	7.74269014350467	9.73350507126491e-15	6.84297851526827e-12	NCAPH
MAFK_-_1570361.23-P1P2|MAFK_+_1570767.23-P1P2++MAFK_-_1570361.23-P1P2|MAFK_+_1570767.23-P1P2	8918.91247656886	1.1729754659617	0.152521185251196	7.69057402766612	1.46476348110403e-14	9.96558921934358e-12	MAFK
GNL2_+_38061508.23-P1P2|GNL2_+_38061333.23-P1P2++GNL2_+_38061508.23-P1P2|GNL2_+_38061333.23-P1P2	2208.18762000197	1.91060573494223	0.249592376169598	7.65490422529562	1.93456365679155e-14	1.27505881516846e-11	GNL2
EIF2B4_+_27593168.23-P1P2|EIF2B4_+_27593203.23-P1P2++EIF2B4_+_27593168.23-P1P2|EIF2B4_+_27593203.23-P1P2	1512.5551528935	2.49662008747467	0.327410508572091	7.62535111766257	2.43371047878794e-14	1.55543599115504e-11	EIF2B4
SKP2_-_36152309.23-P1P2|SKP2_-_36152218.23-P1P2++SKP2_-_36152309.23-P1P2|SKP2_-_36152218.23-P1P2	1985.71205712285	2.08065531636771	0.273037417960784	7.62040357657701	2.52883810014016e-14	1.56869777558989e-11	SKP2
C1orf131_+_231376880.23-P1P2|C1orf131_-_231376873.23-P1P2++C1orf131_+_231376880.23-P1P2|C1orf131_-_231376873.23-P1P2	2945.83281021143	1.69496091350646	0.222584188214922	7.61492057050274	2.63853676052609e-14	1.58998225189302e-11	C1orf131
DNA2_-_70231670.23-P1P2|DNA2_-_70231468.23-P1P2++DNA2_-_70231670.23-P1P2|DNA2_-_70231468.23-P1P2	1564.30662964526	2.61098832060645	0.344514987812984	7.57873652226646	3.48936310522962e-14	2.00260220405356e-11	DNA2
SMC2_-_106856631.23-P1P2|SMC2_+_106856781.23-P1P2++SMC2_-_106856631.23-P1P2|SMC2_+_106856781.23-P1P2	1791.01873043734	2.87464470513306	0.37952148883293	7.57439246450287	3.60812117747073e-14	2.00260220405356e-11	SMC2
TRAPPC10_-_45432698.23-P1P2|TRAPPC10_+_45432705.23-P1P2++TRAPPC10_-_45432698.23-P1P2|TRAPPC10_+_45432705.23-P1P2	4851.93388860398	1.36658567273188	0.180379762917278	7.5761584926719	3.55936943005833e-14	2.00260220405356e-11	TRAPPC10
NLE1_+_33469287.23-P1P2|NLE1_-_33469053.23-P1P2++NLE1_+_33469287.23-P1P2|NLE1_-_33469053.23-P1P2	2652.63620819492	2.26844312428002	0.302027720463164	7.51071166845656	5.88067866816418e-14	3.18024086641669e-11	NLE1
