baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000173706.12	770.630261632311	-3.88015350260976	0.123839093448397	2.72317362454956e-216	1.25990453674679e-213	HEG1	protein_coding
ENSG00000128965.11	847.285781770116	-4.67429469893352	0.150423485546148	4.43683175108844e-213	2.01473243274888e-210	CHAC1	protein_coding
ENSG00000173391.8	1347.52202824911	-2.71605946728716	0.0875323680296652	2.70885668114512e-212	1.20770681233381e-209	OLR1	protein_coding
ENSG00000143507.17	1572.21022821816	-2.41621125522506	0.0791344883171608	9.20236505152154e-206	4.02948559693499e-203	DUSP10	protein_coding
ENSG00000116574.5	1666.28743334017	-2.62678180281615	0.0870733198852553	5.4208849719098e-201	2.33202667361755e-198	RHOU	protein_coding
ENSG00000197457.9	899.677243794018	3.21298733778948	0.106911323302214	6.74341232914329e-200	2.85095196074005e-197	STMN3	protein_coding
ENSG00000113070.7	1276.28681371437	-2.69221371642577	0.0896342363568238	2.9009513363077e-199	1.20566487656951e-196	HBEGF	protein_coding
ENSG00000120708.16	9338.77899951446	-1.74715146806295	0.0586308256349007	8.66696886022922e-196	3.54204572369468e-193	TGFBI	protein_coding
ENSG00000148344.10	15649.6290187123	-2.12208917831503	0.0713518119091965	2.47837375032917e-195	9.96265618554453e-193	PTGES	protein_coding
ENSG00000113739.10	727.255603967359	-4.6976335709786	0.15804615942007	9.14030927854461e-195	3.61499231966439e-192	STC2	protein_coding
ENSG00000104368.17	2549.41409587335	2.53438308937928	0.0854695100846755	1.58086041646285e-194	6.15306004318818e-192	PLAT	protein_coding
ENSG00000110492.15	1935.69817735988	-2.57919891830976	0.0872903007373306	5.62100773932082e-193	2.15363641837322e-190	MDK	protein_coding
ENSG00000075426.11	6766.0650939856	-2.14818508125664	0.0727380464806096	1.24280531648106e-192	4.6884352562203e-190	FOSL2	protein_coding
ENSG00000164442.9	827.741232058264	-2.95655545224447	0.101165786119658	8.98477208265737e-189	3.3381150945279e-186	CITED2	protein_coding
