gene_id,gene_name,gene_biotype,BBN963_MP1_rep_1_cpm,BBN963_MP1_rep_1_count,BBN963_MP1_rep_2_cpm,BBN963_MP1_rep_2_count,BBN963_MP1_rep_3_cpm,BBN963_MP1_rep_3_count,UPPL1541_PARENTAL_rep_1_cpm,UPPL1541_PARENTAL_rep_1_count,UPPL1541_PARENTAL_rep_2_cpm,UPPL1541_PARENTAL_rep_2_count,UPPL1541_PARENTAL_rep_3_cpm,UPPL1541_PARENTAL_rep_3_count,UPPL1541_MP1_rep_1_cpm,UPPL1541_MP1_rep_1_count,UPPL1541_MP1_rep_2_cpm,UPPL1541_MP1_rep_2_count,UPPL1541_MP1_rep_3_cpm,UPPL1541_MP1_rep_3_count,BBN963_PARENTAL_rep_1_cpm,BBN963_PARENTAL_rep_1_count,BBN963_PARENTAL_rep_2_cpm,BBN963_PARENTAL_rep_2_count,BBN963_PARENTAL_rep_3_cpm,BBN963_PARENTAL_rep_3_count
ENSMUSG00000032966,Fkbp1a,protein_coding,243.59230729208082,2020.67,233.99469330623117,2065.5,234.1753769180466,1988.5,438.1909819352659,4023.0,444.1515124542826,4322.67,432.1436006727658,4142.5,455.5416810551695,3726.0,412.0541817649104,3840.33,423.75416772121366,3765.33,267.25429723403215,2622.0,257.05788400238305,2413.17,266.8331927781715,2332.83
ENSMUSG00000032968,Inha,protein_coding,0.4822010665612511,4.0,0.793010338002236,7.0,0.4710593450702471,4.0,0.5446072358131567,5.0,0.6164960718087884,6.0,0.20863903472432868,2.0,0.24452049439354237,2.0,0.10729655570352299,1.0,0.11254104360606206,1.0,0.20385529918690481,2.0,0.0,0.0,0.11438175639809654,1.0
ENSMUSG00000032977,Slx9,protein_coding,45.929651589959164,381.0,41.46311195840262,366.0,42.5131058925898,361.0,38.12250650692097,350.0,40.7914900846815,397.0,37.97230431982781,364.0,34.11060896789916,279.0,31.330594265428715,292.0,35.562969779515605,316.0,45.35780406908631,445.0,47.296170803158525,444.0,43.007540405684296,376.0
ENSMUSG00000032978,Guca2b,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.10892144716263134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10192764959345241,1.0,0.0,0.0,0.0,0.0
ENSMUSG00000032985,5730522E02Rik,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000032987,Or8s8,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000032988,Slc16a8,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000032997,Chpf,protein_coding,36.64728105865508,304.0,35.23231644552791,311.0,30.73662226583362,261.0,30.71584809986204,282.0,27.53682454079255,268.0,27.644672100973548,265.0,33.62156797911207,275.0,29.077366595654727,271.0,30.048458642818566,267.0,33.02455846827858,324.0,28.867707855080994,271.0,33.971381650234676,297.0
ENSMUSG00000032998,Foxj3,protein_coding,13.622180130355343,113.0,11.385362709889243,100.5,10.010011082742752,85.0,9.694008797474188,89.0,12.484045454127966,121.5,8.65851994105964,83.0,7.7023955733965845,63.0,8.476427900578315,79.0,7.990414096030406,71.0,13.862160344709526,136.0,17.203449515112844,161.5,11.323793883411557,99.0
ENSMUSG00000032999,Nlrp4f,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
