baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	gene_type
4694.53190992924	-3.79705611737854	0.0707762103954396	-53.6487627150944	0	0	H19	processed_transcript
20097.8204013199	1.46404329229615	0.0424001974011536	34.5291621745213	2.9292793718022e-261	1.83695109405716e-257	SERPINE1	protein_coding
1570.68769061762	2.09420739089514	0.0763014358043465	27.4465004336896	7.64903340718942e-166	3.19780589976566e-162	CYP26B1	protein_coding
2945.98721022528	1.18296692324418	0.0632646072794616	18.6987159822017	5.07111873292028e-78	1.59004927870715e-74	ITGA2	protein_coding
9070.19708966716	1.21314506863927	0.0674593913235357	17.9833384920569	2.63159308387681e-72	6.60108809159659e-69	GPRC5A	protein_coding
6990.11214235086	1.18794344289301	0.068945749188594	17.2301187074422	1.57827111206641e-66	3.23872980008157e-63	HEG1	protein_coding
2273.19588334876	-1.20336215193117	0.0698724524928314	-17.2222687053189	1.80761510130529e-66	3.23872980008157e-63	TPT1	protein_coding
1631.82118588971	1.78298782774032	0.111044867953515	16.0564631270192	5.15097799285771e-58	8.07544574830268e-55	ANKRD1	protein_coding
5468.32711075691	0.778677938734005	0.0490811384429682	15.8651156724659	1.1051369274064e-56	1.54006970483678e-53	MET	protein_coding
421.253560305629	2.9457295577537	0.189362161805012	15.5560621492426	1.44734077449234e-54	1.81525479936829e-51	NLK	protein_coding
4216.31575828335	1.17768124573808	0.0794694229259321	14.8193003343653	1.09923426166334e-49	1.25332691907106e-46	THBS1	protein_coding
705.793558546615	-1.91383557324575	0.132967893756138	-14.3932156792354	5.7079052138073e-47	5.96571226596426e-44	ZNF431	protein_coding
27824.8722956682	-0.659707920119898	0.0460646199221445	-14.3213581537174	1.60946793591054e-46	1.55276514247615e-43	IGFBP3	protein_coding
8597.73641271133	0.744304679662578	0.0531030890927022	14.0162218880194	1.24044766587634e-44	1.11126390181579e-41	MYH9	protein_coding
6126.04822180561	-1.08030951676389	0.0778662128233103	-13.8739188358277	9.11572265171832e-44	7.62195956652341e-41	CCDC80	protein_coding
1231.07197558988	1.3435887979159	0.0973523414578275	13.8012992578914	2.503003680811e-43	1.96204201029572e-40	PEG10	protein_coding
2408.47047199245	0.850080448820468	0.0643016051405008	13.2202057314591	6.70802199751704e-40	4.94894187605051e-37	OLR1	protein_coding
122246.225898377	0.823078010410166	0.0623795433166666	13.1946783616522	9.41558817442253e-40	6.45990802233616e-37	FN1	protein_coding
396.728467086554	1.95693732546536	0.148345332109742	13.191768811557	9.7861786337416e-40	6.45990802233616e-37	KSR1	protein_coding
7558.75718849776	0.591495637028813	0.0459226950404805	12.880246608075	5.81494608201492e-38	3.64655268803156e-35	EZR	protein_coding
2191.40915648651	0.90369694175672	0.073502231474696	12.2948232131949	9.65678030700447e-35	5.7673970766881e-32	HSD3B1	protein_coding
957.757471449493	1.27854767317875	0.109568242324175	11.6689621559865	1.83649941181702e-31	1.04697161922769e-28	GRAMD3	protein_coding
5098.83467378177	-0.635343185366733	0.0546326108996839	-11.6293762077992	2.92225191595974e-31	1.59351667521596e-28	TARS	protein_coding
1716.82006615666	-0.966315624899694	0.083954219587102	-11.5100304624611	1.17436912139109e-30	6.13705730020291e-28	SKP2	protein_coding
2003.68762318127	1.12716191492933	0.0989239262959892	11.3942294562466	4.46764958521581e-30	2.24133044391107e-27	CALU	protein_coding
