baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	gene_type
7498.78975131551	-2.3370252503417	0.0532518096089844	-43.8863067283898	0	0	S100A14	protein_coding
4147.55840530477	-3.14527413084985	0.0734798493184269	-42.8045805758219	0	0	PBX1	protein_coding
9536.17600891306	2.00018992857063	0.0486266608254233	41.133606433549	0	0	EPHX1	protein_coding
6757.81200566317	-3.35741326380064	0.055424299644768	-60.5765573100494	0	0	SCCPDH	protein_coding
3632.63372684327	-3.13567004912732	0.0767813937104059	-40.838931121178	0	0	SEMA3F	protein_coding
19553.0564917884	-2.32756102355497	0.0403384805684429	-57.7007609298957	0	0	UPK1B	protein_coding
2012.24802901655	-4.708668284894	0.0999460997207349	-47.1120763896816	0	0	NPNT	protein_coding
3628.03186728622	-2.34029658306148	0.062099981962056	-37.685946261489	0	0	SOX4	protein_coding
10368.8122769392	-1.98814099344008	0.051871446896822	-38.3282347491618	0	0	UPK3B	protein_coding
21502.8567239806	2.04318669009893	0.0518387895556269	39.4142438049492	0	0	NAMPT	protein_coding
13289.2985982181	-2.72010112233284	0.0524938881161955	-51.8174823764603	0	0	MEST	protein_coding
13978.4492096762	2.18176994472908	0.0531028792574863	41.0857184249855	0	0	NDRG1	protein_coding
16574.797617782	3.9201331970597	0.0536716152706418	73.0392252458255	0	0	PTGR1	protein_coding
11761.5648989833	1.88359451710797	0.0444584395102581	42.3675355648361	0	0	GSN	protein_coding
73133.1178745148	4.40013170268934	0.0515599930837505	85.3400367130008	0	0	AKR1C1	protein_coding
112071.252294043	2.93240944171439	0.0577859022990871	50.7461045868399	0	0	AKR1C2	protein_coding
58783.8995479904	3.59993236649763	0.0645394955785917	55.7787496512717	0	0	AKR1C3	protein_coding
1163.95834646389	4.52019974151603	0.117658808575217	38.4178609001158	0	0	ADAM12	protein_coding
3710.74847889892	2.59052519330246	0.062951713125715	41.1509880299709	0	0	FADS3	protein_coding
36967.5909721554	1.77372324745046	0.0384732794237667	46.1027308827424	0	0	FTH1	protein_coding
2348.6320948229	3.83316360099574	0.0823301238047161	46.5584578748825	0	0	ANO1	protein_coding
10880.3492855384	1.95187397676721	0.0493879947934235	39.5212234254774	0	0	SLC37A2	protein_coding
6617.18023672758	-3.52348794245884	0.0590614805453088	-59.6579684411367	0	0	METTL7A	protein_coding
11313.6473831985	2.15766568078786	0.051133081495515	42.1970594707287	0	0	TSC22D1	protein_coding
12099.4964869404	2.06074607928328	0.0461325731156158	44.6700875348686	0	0	KCTD12	protein_coding
2445.05182664103	3.23914599185219	0.0798257785087306	40.5776937270699	0	0	OSGIN1	protein_coding
7470.4610887353	3.17625968781294	0.0547599061219442	58.0033808082097	0	0	TRIM16L	protein_coding
102582.638225939	6.33289087853607	0.0663788474262381	95.4052551993064	0	0	ALDH3A1	protein_coding
3325.67087348243	2.45655991145674	0.060802674851196	40.4021684484892	0	0	CYP4F11	protein_coding
13816.7952429539	1.97382360656244	0.0491155114319366	40.187377653549	0	0	UQCRFS1	protein_coding
5462.56425995248	2.30985662050921	0.051593157489158	44.7706000741399	0	0	PLEKHF1	protein_coding
11191.4534263875	2.16173334181283	0.0437665839451428	49.3923250789313	0	0	ANKRD27	protein_coding
17836.2293348692	1.87598110894679	0.0482271646906085	38.8988471742381	0	0	LSR	protein_coding
1878.76889849705	5.24793692379379	0.11260278700769	46.6057462985832	0	0	APOE	protein_coding
28344.1916871377	1.6847194410389	0.040450652695647	41.648757900517	0	0	PRNP	protein_coding
11533.6622261621	1.62432326999944	0.0427535165210512	37.992740765538	0	0	JAG1	protein_coding
6167.34337404264	1.90414622200448	0.050020286721404	38.0674791532069	0	0	THBD	protein_coding
2947.11292867815	-2.40879256816803	0.0650239707416784	-37.0446858395878	2.18695416410654e-300	1.34463150237329e-297	PLA2G16	protein_coding
31901.7335821446	1.75310968846002	0.0474281640275027	36.9634735901525	4.42513476206384e-299	2.65099611745794e-296	SFN	protein_coding
82138.2638111528	-1.98019720994858	0.0536254773665233	-36.9264257810552	1.74097691830212e-298	1.01690461798027e-295	SCD	protein_coding
12557.6750268632	-1.72410381919102	0.0468779722547148	-36.7785494181142	4.06695605872902e-296	2.31756978917426e-293	KRT6A	protein_coding
2214.29378549314	2.69146340465641	0.074127312743412	36.3086601287271	1.18116573912185e-288	6.57065626877214e-286	KRT16	protein_coding
25415.5171157298	1.86360937278932	0.051422497680602	36.2411290164212	1.37088920225209e-287	7.44871053986462e-285	CD44	protein_coding
4486.62298718732	2.83604882264847	0.0793923811605342	35.7219267288869	1.80557328570162e-279	9.58759414707561e-277	LOXL2	protein_coding
6958.39268880952	2.64179741837415	0.0740746023472421	35.6640108034614	1.42918514452146e-278	7.42032927035543e-276	AQP3	protein_coding
6644.89157082251	1.96807452873843	0.0555084990068396	35.455372851929	2.39721696571204e-275	1.21757776493252e-272	AHNAK2	protein_coding
5118.36604849435	1.79140375573761	0.0507816230306644	35.2766148229622	1.34118696478349e-272	6.66712600961735e-270	ATP1B1	protein_coding
1035.38397481339	4.65572501021858	0.132669550339525	35.0926418179888	8.72879228044437e-270	4.2487396425063e-267	ZNF114	protein_coding
59753.4876695682	1.40192025048969	0.0399731945370055	35.071508963134	1.83313523035464e-269	8.74068806571546e-267	ITGA3	protein_coding
1186.16240689168	4.95613818762941	0.141368690250518	35.0582450671834	2.91976249690091e-269	1.36434661955186e-266	RP11-443P15.2	transcribed_unprocessed_pseudogene
5064.27874803944	2.10319441704235	0.0600860878354563	35.0030180497335	2.02410668491986e-268	9.27278991891523e-266	SLC23A2	protein_coding
21813.741855539	1.52215341932205	0.043574589171605	34.9321347202499	2.41859167781623e-267	1.0866918453942e-264	GLT25D1	protein_coding
6360.90737251771	1.88855801290457	0.0542148162152486	34.8347212947554	7.25363348796341e-266	3.197620619109e-263	PDCD5	protein_coding
9041.81733241124	1.69241011399703	0.0487891902104286	34.6882189824761	1.18600504064862e-263	5.13144847587302e-261	DDA1	protein_coding
4709.2077351251	-2.08344786264551	0.0602124500080031	-34.6016124965616	2.38924054124036e-262	1.0149493819189e-259	ATP8B1	protein_coding
40346.0873973135	-2.1980358497039	0.0643607160913456	-34.1518240192399	1.25632889895938e-255	5.24158364201553e-253	KRT13	protein_coding
17760.0655654261	1.8588789706117	0.0545328866351123	34.0873019073744	1.13764790078676e-254	4.66315886911962e-252	PGD	protein_coding
1767.23855655356	-3.94412559656028	0.116452994474622	-33.8688207577161	1.91782648585413e-251	7.72553414060276e-249	WNT11	protein_coding
1457.90795176225	-3.30554822971582	0.0977734466370749	-33.8082408200836	1.49231805108183e-250	5.90957948228404e-248	TBX3	protein_coding
8446.5526781529	1.67332679175816	0.0496025417287161	33.7346985343985	1.79239098118361e-249	6.97957048072899e-247	URI1	protein_coding
